,result link
0,https://patents.google.com/patent/US11379541B2/en
1,https://patents.google.com/patent/US20200348906A1/en
2,https://patents.google.com/patent/US20180156744A1/en
3,https://patents.google.com/patent/US20220187870A1/en
4,https://patents.google.com/patent/US10595862B2/en
