,result link
0,https://patents.google.com/patent/US9552100B2/en
1,https://patents.google.com/patent/US20220007114A1/en
2,https://patents.google.com/patent/CN107016154B/en
3,https://patents.google.com/patent/ES2809160T3/en
4,https://patents.google.com/patent/KR102378856B1/en
